utterance,qudBias,state.CC,state.BEL,prob
pos-know-pos-dance,BEL?,1,1,1
pos-know-pos-dance,CC?,1,1,1
pos-think-pos-dance,BEL?,0,1,0.5108572198975183
pos-think-pos-dance,BEL?,1,1,0.48914278010248197
pos-think-pos-dance,CC?,0,1,0.5000000217208398
pos-think-pos-dance,CC?,1,1,0.4999999782791611
neg-know-pos-dance,BEL?,1,0,0.9625064301051285
neg-know-pos-dance,BEL?,0,0,0.03552400238039712
neg-know-pos-dance,BEL?,0,1,0.001969567514474472
neg-know-pos-dance,CC?,0,1,0.4997615292583639
neg-know-pos-dance,CC?,0,0,0.25437480659185974
neg-know-pos-dance,CC?,1,0,0.24586366414977676
neg-think-pos-dance,BEL?,0,0,0.5035668698910066
neg-think-pos-dance,BEL?,1,0,0.4964331301089938
neg-think-pos-dance,CC?,1,0,0.500000000382963
neg-think-pos-dance,CC?,0,0,0.49999999961703695
pos-bare-pos-dance,BEL?,1,0,0.5052726066492385
pos-bare-pos-dance,BEL?,1,1,0.49472739335076155
pos-bare-pos-dance,CC?,1,0,0.5000085095708787
pos-bare-pos-dance,CC?,1,1,0.49999149042912133
neg-bare-pos-dance,BEL?,0,1,0.5000950468466333
neg-bare-pos-dance,BEL?,0,0,0.49990495315336647
neg-bare-pos-dance,CC?,0,0,0.500002834677204
neg-bare-pos-dance,CC?,0,1,0.499997165322796
